????????-P,??? C-P,????????-P,??? B-P,????????-P,????????-O,??? C-O,????????-O,??? B-O,????????-O
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,          ,          ,KB230     ,KS231     ,CM127     ,          ,          ,KB230     
KS231     ,CM127     ,          ,          ,KB230     ,KS231     ,CM127     ,          ,          ,KB230     
KAC125    ,CM112     ,          ,          ,KB120     ,KAC125    ,CM112     ,          ,          ,KB120     
KAC125    ,CM112     ,          ,          ,KB120     ,CM97      ,CM127     ,          ,          ,CM97      
KB230     ,CM147     ,          ,          ,CM147     ,KB230     ,CM147     ,          ,          ,CM147     
KB230     ,CM147     ,          ,          ,CM147     ,KB230     ,CM147     ,          ,          ,CM147     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM197     ,          ,          ,KB230     ,KS231     ,CM197     ,          ,          ,KB230     
KS231     ,CM127     ,          ,          ,KB160     ,KS231     ,CM127     ,          ,          ,KB160     
KS161     ,CM147     ,          ,          ,KB160     ,KS161     ,CM147     ,          ,          ,KB160     
KS161     ,CM147     ,          ,          ,KB160     ,KS231     ,CM127     ,          ,          ,KB160     
KB230     ,CM147     ,          ,          ,KB160     ,KB230     ,CM147     ,          ,          ,KB160     
KB230     ,CM147     ,          ,          ,KB160     ,KB230     ,CM147     ,          ,          ,CM147     
KS161     ,CM127     ,          ,          ,KB160     ,KS161     ,CM127     ,          ,          ,KB160     
KS161     ,CM127     ,          ,          ,KB120     ,KS161     ,CM127     ,          ,          ,KB120     
KS161     ,CM127     ,CM127     ,CM127     ,KB160     ,KS161     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB160     ,KS231     ,CM127     ,CM127     ,CM127     ,KB160     
KS231     ,CM127     ,CM127     ,CM127     ,KB230     ,KS231     ,CM127     ,CM127     ,CM127     ,KB230     
KS231     ,CM127     ,CM127     ,CM127     ,KB230     ,KS231     ,CM127     ,CM127     ,CM127     ,KB230     
KS161     ,CM147     ,CM147     ,CM147     ,KB160     ,KS161     ,CM147     ,CM147     ,CM147     ,KB160     
KS161     ,CM147     ,CM147     ,CM147     ,KB160     ,KS231     ,CM147     ,CM147     ,CM147     ,KB160     
KS121     ,          ,          ,CM127     ,KB120     ,KS121     ,          ,          ,CM127     ,KB120     
