,กำหนดส่ง,แผ่นหน้า,ลอน C,แผ่นกลาง,ลอน B,แผ่นหลัง,จน.ชั้น,กว้างผลิต,ยาวผลิต,ทับส้นซ้าย,ทับเส้นกลาง,ทับเส้นขวา,เลขที่ใบสั่งขาย,ชนิดส่วนประกอบ,จำนวนสั่งขาย,จำนวนสั่งผลิต,ประเภททับเส้น,สถานะใบสั่ง,% ที่เกิน
0,2024-01-02,CM127,CM127,0,0,CM127,3,10.7087,12.5591,272,0,0,12181158980,T,2800,2940,Y,A,5
1,2024-01-02,CM127,CM127,0,0,CM127,3,10.7087,12.5591,272,0,0,12181158984,T,1000,1100,Y,A,10
2,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,8.8583,23.189,225,0,0,12181158978,T,5000,5250,Y,A,5
3,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,8.8583,23.189,225,0,0,12181158979,T,3720,3900,Y,A,5
4,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,8.8583,23.189,225,0,0,12181158983,T,1830,2010,Y,A,10
5,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,8.8583,23.189,225,0,0,12181158985,T,1840,2020,Y,A,10
6,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,12.3622,24.1339,314,0,0,12181158975,T,2600,2730,Y,A,5
7,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,12.3622,24.1339,314,0,0,12181158976,T,2600,2730,Y,A,5
8,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,12.3622,24.1339,314,0,0,12181158977,T,870,950,Y,A,10
9,2024-01-02,CM127,CM127,CM127,CM127,CM127,5,12.874,15.4331,327,0,0,12181159113,R,800,880,Y,A,10
10,2024-01-02,CM97,CM127,0,0,CM97,3,8.9764,11.9685,228,0,0,12181159205,T,4000,4200,Y,A,5
11,2024-01-02,KB120,0,0,CM100,CM100,3,10.2362,34.6457,85,90,85,12181159199,A,15000,15300,N,Y,2
12,2024-01-02,KB160,0,0,CM127,KB120,3,22.2441,50.0394,130,305,130,12181158645,A,2380,2490,X,Y,5
13,2024-01-02,KB160,0,0,CM147,KB160,3,27.5591,47.2441,700,0,0,12181157826,X,2500,2620,Y,Y,5
